category_id,category_raw_name,category_display_name,act_group,parent_category,is_leaf,section_reference
1,cat__A. Offences under I.T. Act - Tampering Computer Source documents (Sec.65),Tampering Computer Source documents (Sec.65),IT Act,Offences under I.T. Act,1,Sec.65
2,cat__A. Offences under I.T. Act - Computer Related Offences - Computer Related Offences (Total),Computer Related Offences - Computer Related Offences (Total),IT Act,Offences under I.T. Act,0,
3,cat__A. Offences under I.T. Act - Computer Related Offences - A) Computer Related Offences (Sec.66) (Total) -,Computer Related Offences - A) Computer Related Offences (Sec.66) (Total),IT Act,Offences under I.T. Act,0,Sec.66
4,cat__A. Offences under I.T. Act - Computer Related Offences - Computer Related Offences (Sec.66) - a1) Ransom-ware,Computer Related Offences - Computer Related Offences (Sec.66) - a1) Ransom-ware,IT Act,Offences under I.T. Act,1,Sec.66
5,cat__A. Offences under I.T. Act - Computer Related Offences - Computer Related Offences (Sec.66) - a2) Offences other than Ransom-ware,Computer Related Offences - Computer Related Offences (Sec.66) - a2) Offences other than Ransom-ware,IT Act,Offences under I.T. Act,1,Sec.66
6,cat__A. Offences under I.T. Act - Computer Related Offences - B) Dishonesty receiving stolen computer resource or communication device (Sec.66B),Computer Related Offences - B) Dishonesty receiving stolen computer resource or communication device (Sec.66B),IT Act,Offences under I.T. Act,1,Sec.66B
7,cat__A. Offences under I.T. Act - Computer Related Offences - C) Identity Theft (Sec.66C),Computer Related Offences - C) Identity Theft (Sec.66C),IT Act,Offences under I.T. Act,1,Sec.66C
8,cat__A. Offences under I.T. Act - Computer Related Offences - D) Cheating by personation by using computer resource (Sec.66D) -,Computer Related Offences - D) Cheating by personation by using computer resource (Sec.66D),IT Act,Offences under I.T. Act,1,Sec.66D
9,cat__A. Offences under I.T. Act - Computer Related Offences - E) Violation of Privacy (Sec.66E) -,Computer Related Offences - E) Violation of Privacy (Sec.66E),IT Act,Offences under I.T. Act,1,Sec.66E
10,cat__A. Offences under I.T. Act - Cyber Terrorism (Sec.66 F),Cyber Terrorism (Sec.66 F),IT Act,Offences under I.T. Act,1,Sec.66 F
11,cat__A. Offences under I.T. Act - Publication/ transmission of obscene / sexually explicit act in electronic form (Sec. 67) - Publication/ transmission of obscene / sexually explicit act in electronic form (Total),Publication/ transmission of obscene / sexually explicit act in electronic form (Sec. 67) - Publication/ transmission of obscene / sexually explicit act in electronic form (Total),IT Act,Offences under I.T. Act,0,Sec. 67
12,cat__A. Offences under I.T. Act - Publication/ transmission of obscene / sexually explicit act in electronic form (Sec. 67) - A) Publishing or transmitting obscene material in Electronic Form,Publication/ transmission of obscene / sexually explicit act in electronic form (Sec. 67) - A) Publishing or transmitting obscene material in Electronic Form,IT Act,Offences under I.T. Act,1,Sec. 67
13,cat__A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - B) Publishing or transmitting of material containing Sexually explicit act in electronic form (Sec.67A),Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - B) Publishing or transmitting of material containing Sexually explicit act in electronic form (Sec.67A),IT Act,Offences under I.T. Act,1,Sec. 67
14,cat__A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - C) Publishing or transmitting of material depicting children in Sexually explicit act in electronic form (Sec.67B),Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - C) Publishing or transmitting of material depicting children in Sexually explicit act in electronic form (Sec.67B),IT Act,Offences under I.T. Act,1,Sec. 67
15,cat__A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - D) Preservation and retention of information by intermediaries (Sec.67C),Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - D) Preservation and retention of information by intermediaries (Sec.67C),IT Act,Offences under I.T. Act,1,Sec. 67
16,cat__A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - E) Other sub-sections of Sec. 67 IT Act,Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - E) Other sub-sections of Sec. 67 IT Act,IT Act,Offences under I.T. Act,1,Sec. 67
17,cat__A. Offences under I.T. Act - Interception or Monitoring or decryption of Information (Sec.69),Interception or Monitoring or decryption of Information (Sec.69),IT Act,Offences under I.T. Act,1,Sec.69
18,cat__A. Offences under I.T. Act - Un-authorized access/attempt to access to protected computer system (Sec.70),Un-authorized access/attempt to access to protected computer system (Sec.70),IT Act,Offences under I.T. Act,1,Sec.70
19,cat__A. Offences under I.T. Act - Abetment to Commit Offences (Sec.84 B),Abetment to Commit Offences (Sec.84 B),IT Act,Offences under I.T. Act,1,Sec.84 B
