state_id,state_name,is_ut
1,Andaman and Nicobar Islands,1
2,Andhra Pradesh,0
3,Arunachal Pradesh,0
4,Assam,0
5,Bihar,0
6,Chandigarh,1
7,Chhattisgarh,0
8,Dadra and Nagar Haveli and Daman and Diu,1
9,Delhi,1
10,Goa,0
11,Gujarat,0
12,Haryana,0
13,Himachal Pradesh,0
14,Jammu and Kashmir,1
15,Jharkhand,0
16,Karnataka,0
17,Kerala,0
18,Ladakh,1
19,Lakshadweep,1
20,Madhya Pradesh,0
21,Maharashtra,0
22,Manipur,0
23,Meghalaya,0
24,Mizoram,0
25,Nagaland,0
26,Odisha,0
27,Puducherry,1
28,Punjab,0
29,Rajasthan,0
30,Sikkim,0
31,Tamil Nadu,0
32,Telangana,0
33,Tripura,0
34,Uttar Pradesh,0
35,Uttarakhand,0
36,West Bengal,0
