fact_id,state_id,year_id,category_id,cases
1373,1,1,1,0
1374,1,1,2,1
1375,1,1,3,0
1376,1,1,4,0
1377,1,1,5,0
1378,1,1,6,0
1379,1,1,7,1
1380,1,1,8,0
1381,1,1,9,0
1382,1,1,10,0
1383,1,1,11,27
1384,1,1,12,0
1385,1,1,13,8
1386,1,1,14,19
1387,1,1,15,0
1388,1,1,16,0
1389,1,1,17,0
1390,1,1,18,0
1391,1,1,19,0
1392,1,1,20,0
1393,1,1,21,2
1394,1,1,22,30
1395,1,1,23,0
1396,1,1,24,0
1397,1,1,25,0
1398,1,1,26,0
1399,1,1,27,0
1400,1,1,28,0
1401,1,1,29,0
1402,1,1,30,0
1403,1,1,31,0
1404,1,1,32,12
1405,1,1,33,0
1406,1,1,34,0
1407,1,1,35,0
1408,1,1,36,0
1409,1,1,37,0
1410,1,1,38,0
1411,1,1,39,2
1412,1,1,40,0
1413,1,1,41,3
1414,1,1,42,17
1415,1,1,43,0
1416,1,1,44,0
1417,1,1,45,0
1418,1,1,46,0
1419,1,1,47,0
1420,1,1,48,0
1421,1,1,49,47
1,2,1,1,2
2,2,1,2,243
3,2,1,3,5
4,2,1,4,0
5,2,1,5,5
6,2,1,6,4
7,2,1,7,65
8,2,1,8,162
9,2,1,9,7
10,2,1,10,0
11,2,1,11,111
12,2,1,12,9
13,2,1,13,23
14,2,1,14,73
15,2,1,15,0
16,2,1,16,6
17,2,1,17,0
18,2,1,18,0
19,2,1,19,0
20,2,1,20,0
21,2,1,21,6
22,2,1,22,362
23,2,1,23,3
24,2,1,24,148
25,2,1,25,1
26,2,1,26,909
27,2,1,27,48
28,2,1,28,23
29,2,1,29,395
30,2,1,30,67
31,2,1,31,376
32,2,1,32,666
33,2,1,33,3
34,2,1,34,2
35,2,1,35,2
36,2,1,36,0
37,2,1,37,0
38,2,1,38,0
39,2,1,39,20
40,2,1,40,24
41,2,1,41,200
42,2,1,42,1978
43,2,1,43,0
44,2,1,44,0
45,2,1,45,1
46,2,1,46,0
47,2,1,47,0
48,2,1,48,1
49,2,1,49,2341
50,3,1,1,0
51,3,1,2,17
52,3,1,3,0
53,3,1,4,0
54,3,1,5,0
55,3,1,6,0
56,3,1,7,8
57,3,1,8,7
58,3,1,9,2
59,3,1,10,0
60,3,1,11,0
61,3,1,12,0
62,3,1,13,0
63,3,1,14,0
64,3,1,15,0
65,3,1,16,0
66,3,1,17,0
67,3,1,18,0
68,3,1,19,0
69,3,1,20,0
70,3,1,21,0
71,3,1,22,17
72,3,1,23,0
73,3,1,24,0
74,3,1,25,0
75,3,1,26,0
76,3,1,27,0
77,3,1,28,0
78,3,1,29,0
79,3,1,30,0
80,3,1,31,0
81,3,1,32,6
82,3,1,33,1
83,3,1,34,0
84,3,1,35,0
85,3,1,36,0
86,3,1,37,0
87,3,1,38,0
88,3,1,39,0
89,3,1,40,0
90,3,1,41,0
91,3,1,42,7
92,3,1,43,0
93,3,1,44,0
94,3,1,45,0
95,3,1,46,0
96,3,1,47,0
97,3,1,48,0
98,3,1,49,24
99,4,1,1,0
100,4,1,2,385
101,4,1,3,81
102,4,1,4,0
103,4,1,5,81
104,4,1,6,6
105,4,1,7,93
106,4,1,8,153
107,4,1,9,52
108,4,1,10,0
109,4,1,11,414
110,4,1,12,80
111,4,1,13,80
112,4,1,14,34
113,4,1,15,0
114,4,1,16,220
115,4,1,17,0
116,4,1,18,0
117,4,1,19,0
118,4,1,20,0
119,4,1,21,48
120,4,1,22,847
121,4,1,23,1
122,4,1,24,1
123,4,1,25,0
124,4,1,26,0
125,4,1,27,0
126,4,1,28,0
127,4,1,29,0
128,4,1,30,0
129,4,1,31,0
130,4,1,32,46
131,4,1,33,3
132,4,1,34,0
133,4,1,35,1
134,4,1,36,0
135,4,1,37,0
136,4,1,38,0
137,4,1,39,3
138,4,1,40,0
139,4,1,41,7
140,4,1,42,62
141,4,1,43,0
142,4,1,44,0
143,4,1,45,0
144,4,1,46,0
145,4,1,47,0
146,4,1,48,0
147,4,1,49,909
148,5,1,1,0
149,5,1,2,332
150,5,1,3,31
151,5,1,4,0
152,5,1,5,31
153,5,1,6,58
154,5,1,7,130
155,5,1,8,112
156,5,1,9,1
157,5,1,10,0
158,5,1,11,65
159,5,1,12,19
160,5,1,13,21
