state_id,state_name,is_ut,reported_grand_total,total_leaf_cases,reconciliation_diff,it_act_cases,it_act_share_pct,ipc_cases,ipc_share_pct,sll_cases,sll_share_pct,total_motives_reported
16,Karnataka,0,21889,21889,0,21870,99.91,18,0.08,1,0.0,21889
32,Telangana,0,18236,18236,0,439,2.41,17787,97.54,10,0.05,18236
34,Uttar Pradesh,0,10794,10794,0,10102,93.59,689,6.38,3,0.03,10794
21,Maharashtra,0,8103,8103,0,960,11.85,7131,88.0,12,0.15,8103
5,Bihar,0,4450,4450,0,397,8.92,4052,91.06,1,0.02,4450
31,Tamil Nadu,0,4121,4121,0,1912,46.4,2195,53.26,14,0.34,4121
17,Kerala,0,3295,3295,0,1089,33.05,2110,64.04,96,2.91,3295
29,Rajasthan,0,2435,2435,0,1464,60.12,953,39.14,18,0.74,2435
26,Odisha,0,2348,2348,0,892,37.99,1393,59.33,63,2.68,2348
2,Andhra Pradesh,0,2341,2341,0,362,15.46,1978,84.49,1,0.04,2341
11,Gujarat,0,1995,1995,0,476,23.86,1504,75.39,15,0.75,1995
15,Jharkhand,0,1079,1079,0,993,92.03,86,7.97,0,0.0,1079
4,Assam,0,909,909,0,847,93.18,62,6.82,0,0.0,909
12,Haryana,0,751,751,0,325,43.28,404,53.79,22,2.93,751
20,Madhya Pradesh,0,685,685,0,267,38.98,413,60.29,5,0.73,685
28,Punjab,0,511,511,0,218,42.66,283,55.38,10,1.96,511
35,Uttarakhand,0,494,494,0,417,84.41,77,15.59,0,0.0,494
7,Chhattisgarh,0,473,473,0,310,65.54,111,23.47,52,10.99,473
9,Delhi,1,407,407,0,128,31.45,279,68.55,0,0.0,407
36,West Bengal,0,309,309,0,61,19.74,246,79.61,2,0.65,309
14,Jammu and Kashmir,1,185,185,0,169,91.35,8,4.32,8,4.32,185
27,Puducherry,1,147,147,0,147,100.0,0,0.0,0,0.0,147
13,Himachal Pradesh,0,127,127,0,101,79.53,26,20.47,0,0.0,127
10,Goa,0,86,86,0,75,87.21,11,12.79,0,0.0,86
23,Meghalaya,0,64,64,0,62,96.88,2,3.13,0,0.0,64
1,Andaman and Nicobar Islands,1,47,47,0,30,63.83,17,36.17,0,0.0,47
33,Tripura,0,36,36,0,36,100.0,0,0.0,0,0.0,36
24,Mizoram,0,31,31,0,31,100.0,0,0.0,0,0.0,31
3,Arunachal Pradesh,0,24,24,0,17,70.83,7,29.17,0,0.0,24
6,Chandigarh,1,23,23,0,17,73.91,6,26.09,0,0.0,23
30,Sikkim,0,12,12,0,12,100.0,0,0.0,0,0.0,12
8,Dadra and Nagar Haveli and Daman and Diu,1,6,6,0,6,100.0,0,0.0,0,0.0,6
22,Manipur,0,3,3,0,2,66.67,1,33.33,0,0.0,3
25,Nagaland,0,2,2,0,2,100.0,0,0.0,0,0.0,2
18,Ladakh,1,1,1,0,0,0.0,0,0.0,1,100.0,1
19,Lakshadweep,1,1,1,0,1,100.0,0,0.0,0,0.0,1
