state_id,state_name,is_ut,year,cases,prev_year_cases,yoy_case_change,yoy_growth_pct
1,Andaman and Nicobar Islands,1,2018,7.0,,,
1,Andaman and Nicobar Islands,1,2019,2.0,7.0,-5.0,-71.43
1,Andaman and Nicobar Islands,1,2020,5.0,2.0,3.0,150.0
1,Andaman and Nicobar Islands,1,2021,8.0,5.0,3.0,60.0
1,Andaman and Nicobar Islands,1,2022,28.0,8.0,20.0,250.0
2,Andhra Pradesh,0,2018,1207.0,,,
2,Andhra Pradesh,0,2019,1886.0,1207.0,679.0,56.26
2,Andhra Pradesh,0,2020,1899.0,1886.0,13.0,0.69
2,Andhra Pradesh,0,2021,1875.0,1899.0,-24.0,-1.26
2,Andhra Pradesh,0,2022,2341.0,1875.0,466.0,24.85
3,Arunachal Pradesh,0,2018,7.0,,,
3,Arunachal Pradesh,0,2019,8.0,7.0,1.0,14.29
3,Arunachal Pradesh,0,2020,30.0,8.0,22.0,275.0
3,Arunachal Pradesh,0,2021,47.0,30.0,17.0,56.67
3,Arunachal Pradesh,0,2022,14.0,47.0,-33.0,-70.21
4,Assam,0,2018,2022.0,,,
4,Assam,0,2019,2231.0,2022.0,209.0,10.34
4,Assam,0,2020,3530.0,2231.0,1299.0,58.23
4,Assam,0,2021,4846.0,3530.0,1316.0,37.28
4,Assam,0,2022,1733.0,4846.0,-3113.0,-64.24
5,Bihar,0,2018,374.0,,,
5,Bihar,0,2019,1050.0,374.0,676.0,180.75
5,Bihar,0,2020,1512.0,1050.0,462.0,44.0
5,Bihar,0,2021,1413.0,1512.0,-99.0,-6.55
5,Bihar,0,2022,1621.0,1413.0,208.0,14.72
6,Chandigarh,1,2018,30.0,,,
6,Chandigarh,1,2019,23.0,30.0,-7.0,-23.33
6,Chandigarh,1,2020,17.0,23.0,-6.0,-26.09
6,Chandigarh,1,2021,15.0,17.0,-2.0,-11.76
6,Chandigarh,1,2022,27.0,15.0,12.0,80.0
7,Chhattisgarh,0,2018,139.0,,,
7,Chhattisgarh,0,2019,175.0,139.0,36.0,25.9
7,Chhattisgarh,0,2020,297.0,175.0,122.0,69.71
7,Chhattisgarh,0,2021,352.0,297.0,55.0,18.52
7,Chhattisgarh,0,2022,439.0,352.0,87.0,24.72
8,Dadra and Nagar Haveli and Daman and Diu,1,2018,0.0,,,
8,Dadra and Nagar Haveli and Daman and Diu,1,2019,3.0,0.0,3.0,
8,Dadra and Nagar Haveli and Daman and Diu,1,2020,3.0,3.0,0.0,0.0
8,Dadra and Nagar Haveli and Daman and Diu,1,2021,5.0,3.0,2.0,66.67
8,Dadra and Nagar Haveli and Daman and Diu,1,2022,5.0,5.0,0.0,0.0
9,Delhi,1,2018,189.0,,,
9,Delhi,1,2019,115.0,189.0,-74.0,-39.15
9,Delhi,1,2020,168.0,115.0,53.0,46.09
9,Delhi,1,2021,356.0,168.0,188.0,111.9
9,Delhi,1,2022,685.0,356.0,329.0,92.42
10,Goa,0,2018,29.0,,,
10,Goa,0,2019,15.0,29.0,-14.0,-48.28
10,Goa,0,2020,40.0,15.0,25.0,166.67
10,Goa,0,2021,36.0,40.0,-4.0,-10.0
10,Goa,0,2022,90.0,36.0,54.0,150.0
11,Gujarat,0,2018,702.0,,,
11,Gujarat,0,2019,784.0,702.0,82.0,11.68
11,Gujarat,0,2020,1283.0,784.0,499.0,63.65
11,Gujarat,0,2021,1536.0,1283.0,253.0,19.72
11,Gujarat,0,2022,1417.0,1536.0,-119.0,-7.75
12,Haryana,0,2018,418.0,,,
12,Haryana,0,2019,564.0,418.0,146.0,34.93
12,Haryana,0,2020,656.0,564.0,92.0,16.31
12,Haryana,0,2021,622.0,656.0,-34.0,-5.18
12,Haryana,0,2022,681.0,622.0,59.0,9.49
13,Himachal Pradesh,0,2018,69.0,,,
13,Himachal Pradesh,0,2019,76.0,69.0,7.0,10.14
13,Himachal Pradesh,0,2020,98.0,76.0,22.0,28.95
13,Himachal Pradesh,0,2021,70.0,98.0,-28.0,-28.57
13,Himachal Pradesh,0,2022,77.0,70.0,7.0,10.0
14,Jammu and Kashmir,1,2018,73.0,,,
14,Jammu and Kashmir,1,2019,73.0,73.0,0.0,0.0
14,Jammu and Kashmir,1,2020,120.0,73.0,47.0,64.38
14,Jammu and Kashmir,1,2021,154.0,120.0,34.0,28.33
14,Jammu and Kashmir,1,2022,173.0,154.0,19.0,12.34
15,Jharkhand,0,2018,930.0,,,
15,Jharkhand,0,2019,1095.0,930.0,165.0,17.74
15,Jharkhand,0,2020,1204.0,1095.0,109.0,9.95
15,Jharkhand,0,2021,953.0,1204.0,-251.0,-20.85
15,Jharkhand,0,2022,967.0,953.0,14.0,1.47
16,Karnataka,0,2018,5839.0,,,
16,Karnataka,0,2019,12020.0,5839.0,6181.0,105.86
16,Karnataka,0,2020,10741.0,12020.0,-1279.0,-10.64
16,Karnataka,0,2021,8136.0,10741.0,-2605.0,-24.25
16,Karnataka,0,2022,12556.0,8136.0,4420.0,54.33
17,Kerala,0,2018,340.0,,,
