State/UT,2018,2019,2020,2021,2022
Andhra Pradesh,1207.0,1886.0,1899,1875,2341
Arunachal Pradesh,7.0,8.0,30,47,14
Assam,2022.0,2231.0,3530,4846,1733
Bihar,374.0,1050.0,1512,1413,1621
Chhattisgarh,139.0,175.0,297,352,439
Goa,29.0,15.0,40,36,90
Gujarat,702.0,784.0,1283,1536,1417
Haryana,418.0,564.0,656,622,681
Himachal Pradesh,69.0,76.0,98,70,77
Jharkhand,930.0,1095.0,1204,953,967
Karnataka,5839.0,12020.0,10741,8136,12556
Kerala,340.0,307.0,426,626,773
Madhya Pradesh,740.0,602.0,699,589,826
Maharashtra,3511.0,4967.0,5496,5562,8249
Manipur,29.0,4.0,79,67,18
Meghalaya,74.0,89.0,142,107,75
Mizoram,6.0,8.0,13,30,1
Nagaland,2.0,2.0,8,8,4
Odisha,843.0,1485.0,1931,2037,1983
Punjab,239.0,243.0,378,551,697
Rajasthan,1104.0,1762.0,1354,1504,1833
Sikkim,1.0,2.0,0,0,26
Tamil Nadu,295.0,385.0,782,1076,2082
Telangana,1205.0,2691.0,5024,10303,15297
Tripura,20.0,20.0,34,24,30
Uttar Pradesh,6280.0,11416.0,11097,8829,10117
Uttarakhand,171.0,100.0,243,718,559
West Bengal,335.0,524.0,712,513,401
Andaman and Nicobar Islands,7.0,2.0,5,8,28
Chandigarh,30.0,23.0,17,15,27
Dadra and Nagar Haveli and Daman and Diu,0.0,3.0,3,5,5
Delhi,189.0,115.0,168,356,685
Jammu and Kashmir,73.0,73.0,120,154,173
Ladakh,,,1,5,3
Lakshadweep,4.0,4.0,3,1,1
Puducherry,14.0,4.0,10,0,64
