category_id,category_display_name,act_group,parent_category,is_leaf,section_reference,national_cases,states_reporting_cases,national_share_pct
1,Tampering Computer Source documents (Sec.65),IT Act,Offences under I.T. Act,1,Sec.65,71,10,0.08
2,Computer Related Offences - Computer Related Offences (Total),IT Act,Offences under I.T. Act,0,,35329,34,40.88
3,Computer Related Offences - A) Computer Related Offences (Sec.66) (Total),IT Act,Offences under I.T. Act,0,Sec.66,4154,25,4.81
4,Computer Related Offences - Computer Related Offences (Sec.66) - a1) Ransom-ware,IT Act,Offences under I.T. Act,1,Sec.66,795,12,0.92
5,Computer Related Offences - Computer Related Offences (Sec.66) - a2) Offences other than Ransom-ware,IT Act,Offences under I.T. Act,1,Sec.66,3359,24,3.89
6,Computer Related Offences - B) Dishonesty receiving stolen computer resource or communication device (Sec.66B),IT Act,Offences under I.T. Act,1,Sec.66B,395,17,0.46
7,Computer Related Offences - C) Identity Theft (Sec.66C),IT Act,Offences under I.T. Act,1,Sec.66C,4978,31,5.76
8,Computer Related Offences - D) Cheating by personation by using computer resource (Sec.66D),IT Act,Offences under I.T. Act,1,Sec.66D,25334,29,29.31
9,Computer Related Offences - E) Violation of Privacy (Sec.66E),IT Act,Offences under I.T. Act,1,Sec.66E,468,23,0.54
10,Cyber Terrorism (Sec.66 F),IT Act,Offences under I.T. Act,1,Sec.66 F,11,7,0.01
11,Publication/ transmission of obscene / sexually explicit act in electronic form (Sec. 67) - Publication/ transmission of obscene / sexually explicit act in electronic form (Total),IT Act,Offences under I.T. Act,0,Sec. 67,7893,34,9.13
12,Publication/ transmission of obscene / sexually explicit act in electronic form (Sec. 67) - A) Publishing or transmitting obscene material in Electronic Form,IT Act,Offences under I.T. Act,1,Sec. 67,3110,28,3.6
13,Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - B) Publishing or transmitting of material containing Sexually explicit act in electronic form (Sec.67A),IT Act,Offences under I.T. Act,1,Sec. 67,2168,32,2.51
14,Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - C) Publishing or transmitting of material depicting children in Sexually explicit act in electronic form (Sec.67B),IT Act,Offences under I.T. Act,1,Sec. 67,1472,29,1.7
15,Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - D) Preservation and retention of information by intermediaries (Sec.67C),IT Act,Offences under I.T. Act,1,Sec. 67,23,7,0.03
16,Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - E) Other sub-sections of Sec. 67 IT Act,IT Act,Offences under I.T. Act,1,Sec. 67,1120,22,1.3
17,Interception or Monitoring or decryption of Information (Sec.69),IT Act,Offences under I.T. Act,1,Sec.69,1,1,0.0
18,Un-authorized access/attempt to access to protected computer system (Sec.70),IT Act,Offences under I.T. Act,1,Sec.70,1,1,0.0
