State/UT,"child__Cyber Blackmailing/ Threatening/ Harassment (Sec.506,503, 384 IPC r/w IT Act",child__Fake Profile (IT Act r/w IPC/SLL),child__Cyber Pornography/ Hosting or Publishing Obscene Sexual Materials depicting children (Sec.67B of IT Act r/w other IPC/SLL),child__Cyber Stalking/ Bullying (Sec.354D IPC r/w IT Act),child__Internet Crimes through Online Games etc. (Sec.305 IPC r/w IT Act),child__Other Cyber Crimes against Children,child__Total Cyber Crimes against Children
Andhra Pradesh,0,0,73,1,0,9,83
Arunachal Pradesh,0,0,0,0,0,0,0
Assam,0,0,34,0,0,6,40
Bihar,0,0,7,1,0,2,10
Chhattisgarh,2,0,187,0,0,4,193
Goa,0,0,8,0,0,2,10
Gujarat,0,0,10,3,0,26,39
Haryana,0,0,4,0,0,32,36
Himachal Pradesh,0,0,2,0,0,2,4
Jharkhand,0,0,0,0,0,0,0
Karnataka,0,0,341,0,0,22,363
Kerala,0,0,342,3,0,98,443
Madhya Pradesh,0,0,5,5,0,33,43
Maharashtra,0,0,23,0,0,8,31
Manipur,0,0,0,0,0,0,0
Meghalaya,0,0,6,0,0,1,7
Mizoram,0,0,4,0,0,0,4
Nagaland,0,0,1,0,0,0,1
Odisha,0,0,69,0,0,0,69
Punjab,0,0,11,0,0,3,14
Rajasthan,0,0,254,6,0,46,306
Sikkim,0,0,0,0,0,0,0
Tamil Nadu,0,0,5,0,0,14,19
Telangana,0,0,20,6,0,10,36
Tripura,0,0,1,0,0,0,1
Uttar Pradesh,0,0,14,0,0,20,34
Uttarakhand,0,0,39,0,0,25,64
West Bengal,0,0,2,0,0,1,3
Andaman and Nicobar Islands,0,0,19,0,0,4,23
Chandigarh,0,0,4,0,0,1,5
Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,0
Delhi,0,0,9,3,0,3,15
Jammu and Kashmir,0,0,2,0,0,1,3
Ladakh,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0
Puducherry,0,0,3,0,0,0,3
