state_name,cluster_id,cluster_label,it_act_share,fraud_motive_share,extortion_motive_share,sexual_exploitation_motive_share,std_it_act_share,std_fraud_motive_share,std_extortion_motive_share,std_sexual_exploitation_motive_share,PCA1,PCA2
Andaman and Nicobar Islands,0,"IPC-Dominant, Moderate Fraud Profile",0.6382978723404256,0.46808510638297873,0.02127659574468085,0.19148936170212766,0.019,-0.0743,-0.4433,0.1487,-0.885948751438204,0.8149386763952351
Andhra Pradesh,0,"IPC-Dominant, Moderate Fraud Profile",0.1546347714651858,0.569841947885519,0.05382315249893208,0.10209312259718069,-1.4296,0.2969,0.2409,-0.2728,-1.30434232219478,-1.1078788519079075
Bihar,0,"IPC-Dominant, Moderate Fraud Profile",0.08921348314606742,0.7689887640449439,0.03573033707865168,0.020898876404494383,-1.6256,1.0233,-0.1395,-0.6557,1.0558042234927298,1.7831347501413357
Chhattisgarh,0,"IPC-Dominant, Moderate Fraud Profile",0.6553911205073996,0.10359408033826638,0.006342494714587738,0.28752642706131076,0.0702,-1.4038,-0.7573,0.6015,-1.7124483455609738,0.42530642122159024
Delhi,0,"IPC-Dominant, Moderate Fraud Profile",0.3144963144963145,0.2800982800982801,0.029484029484029485,0.10319410319410319,-0.9508,-0.76,-0.2708,-0.2677,1.1990835755849947,-0.2316492517714295
Gujarat,0,"IPC-Dominant, Moderate Fraud Profile",0.23859649122807017,0.5949874686716792,0.09172932330827067,0.042105263157894736,-1.1782,0.3886,1.0377,-0.5557,-0.34215401259743367,-0.9014723544965028
Haryana,0,"IPC-Dominant, Moderate Fraud Profile",0.43275632490013316,0.39280958721704395,0.047936085219707054,0.15579227696404793,-0.5966,-0.3489,0.1171,-0.0196,-0.9394083466308478,1.3361877565840752
Ladakh,0,"IPC-Dominant, Moderate Fraud Profile",0.0,0.0,0.0,0.0,-1.8928,-1.7817,-0.8906,-0.7542,-0.01519618103530099,0.5055583414746714
Madhya Pradesh,0,"IPC-Dominant, Moderate Fraud Profile",0.3897810218978102,0.4846715328467153,0.024817518248175182,0.14890510948905109,-0.7253,-0.0138,-0.3689,-0.0521,-0.5614719826998325,-0.769336792955992
Maharashtra,0,"IPC-Dominant, Moderate Fraud Profile",0.11847463902258423,0.6528446254473652,0.015179563124768604,0.06590151795631248,-1.5379,0.5997,-0.5715,-0.4435,-1.2335491867880926,-1.371501106242682
Manipur,0,"IPC-Dominant, Moderate Fraud Profile",0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.104,-0.5658,-0.8906,0.8175,-0.8543525412334315,-1.2479344359810196
Odisha,0,"IPC-Dominant, Moderate Fraud Profile",0.3798977853492334,0.7137989778534923,0.0,0.0034071550255536627,-0.7549,0.822,-0.8906,-0.7382,-0.089311748975448,2.6262279645217546
Rajasthan,0,"IPC-Dominant, Moderate Fraud Profile",0.6012320328542095,0.4525667351129363,0.05503080082135524,0.14989733059548255,-0.092,-0.1309,0.2662,-0.0474,-0.35136360295874486,0.07464160943970097
Telangana,0,"IPC-Dominant, Moderate Fraud Profile",0.024073261680193025,0.8087848212327264,0.00734810265409081,0.010693134459311252,-1.8207,1.1685,-0.7361,-0.7038,-1.3294197678922464,0.15966517443199674
West Bengal,0,"IPC-Dominant, Moderate Fraud Profile",0.19741100323624594,0.038834951456310676,0.025889967637540454,0.038834951456310676,-1.3015,-1.6401,-0.3464,-0.5711,0.8320981499281958,-0.6969697018855131
Arunachal Pradesh,1,"IT Act-Dominant, High Fraud Profile",0.7083333333333334,0.8333333333333334,0.0,0.0,0.2288,1.258,-0.8906,-0.7542,0.8175197458943259,-0.4586353491823106
Goa,1,"IT Act-Dominant, High Fraud Profile",0.872093023255814,0.6976744186046512,0.023255813953488372,0.12790697674418605,0.7193,0.7632,-0.4017,-0.1511,-0.8375685907344695,-1.4464023815470102
Himachal Pradesh,1,"IT Act-Dominant, High Fraud Profile",0.7952755905511811,0.7086614173228346,0.023622047244094488,0.09448818897637795,0.4892,0.8033,-0.394,-0.3087,-0.22793765811541167,-1.0844588264399917
Jammu and Kashmir,1,"IT Act-Dominant, High Fraud Profile",0.9135135135135135,0.6054054054054054,0.05945945945945946,0.24864864864864866,0.8433,0.4266,0.3593,0.4182,-1.405162577832891,-0.4841374481016588
Jharkhand,1,"IT Act-Dominant, High Fraud Profile",0.9202965708989805,0.9518072289156626,0.012974976830398516,0.017608897126969416,0.8636,1.6902,-0.6178,-0.6712,-0.24381159641487812,1.2381140934625987
Karnataka,1,"IT Act-Dominant, High Fraud Profile",0.9991319841016035,0.8498332495774134,0.01996436566311846,0.031157202247704328,1.0998,1.3182,-0.4709,-0.6073,0.04516684871131913,0.30732234080253573
Meghalaya,1,"IT Act-Dominant, High Fraud Profile",0.96875,0.453125,0.046875,0.265625,1.0088,-0.1289,0.0948,0.4983,0.5454776834843303,0.6059801073355466
Mizoram,1,"IT Act-Dominant, High Fraud Profile",1.0,0.7741935483870968,0.0,0.0,1.1024,1.0423,-0.8906,-0.7542,-1.5546766048182374,-0.689589177487235
Nagaland,1,"IT Act-Dominant, High Fraud Profile",1.0,0.5,0.0,0.0,1.1024,0.0421,-0.8906,-0.7542,-1.982756211313608,0.011918727922193192
