state_name,total_cases,it_act_cases,ipc_cases,motive_fraud,motive_extortion,motive_sexual_exploitation,sec66d_cheating_personation,sec66c_identity_theft,women_cases_total,child_cases_total,it_act_share,fraud_motive_share
Andhra Pradesh,2341,362,1978,1334,126,239,162,65,559,83,0.1546347714651858,0.569841947885519
Arunachal Pradesh,24,17,7,20,0,0,7,8,4,0,0.7083333333333334,0.8333333333333334
Assam,909,847,62,138,132,59,153,93,469,40,0.9317931793179318,0.15181518151815182
Bihar,4450,397,4052,3422,159,93,112,130,644,10,0.08921348314606742,0.7689887640449439
Chhattisgarh,473,310,111,49,3,136,6,3,242,193,0.6553911205073996,0.10359408033826638
Goa,86,75,11,60,2,11,48,7,28,10,0.872093023255814,0.6976744186046512
Gujarat,1995,476,1504,1187,183,84,34,254,453,39,0.23859649122807017,0.5949874686716792
Haryana,751,325,404,295,36,117,34,61,382,36,0.43275632490013316,0.39280958721704395
Himachal Pradesh,127,101,26,90,3,12,69,4,40,4,0.7952755905511811,0.7086614173228346
Jharkhand,1079,993,86,1027,14,19,161,479,20,0,0.9202965708989805,0.9518072289156626
Karnataka,21889,21870,18,18602,437,682,18166,2411,7002,363,0.9991319841016035,0.8498332495774134
Kerala,3295,1089,2110,1718,590,500,526,76,822,443,0.3305007587253414,0.5213960546282246
Madhya Pradesh,685,267,413,332,17,102,159,19,313,43,0.3897810218978102,0.4846715328467153
Maharashtra,8103,960,7131,5290,123,534,248,474,2502,31,0.11847463902258423,0.6528446254473652
Manipur,3,2,1,1,0,1,1,0,6,0,0.6666666666666666,0.3333333333333333
Meghalaya,64,62,2,29,3,17,27,8,29,7,0.96875,0.453125
Mizoram,31,31,0,24,0,0,0,7,0,4,1.0,0.7741935483870968
Nagaland,2,2,0,1,0,0,1,0,1,1,1.0,0.5
Odisha,2348,892,1393,1676,0,8,0,1,761,69,0.3798977853492334,0.7137989778534923
Punjab,511,218,283,277,53,74,44,11,127,14,0.42661448140900193,0.5420743639921722
Rajasthan,2435,1464,953,1102,134,365,521,148,521,306,0.6012320328542095,0.4525667351129363
Sikkim,12,12,0,3,1,0,4,1,8,0,1.0,0.25
Tamil Nadu,4121,1912,2195,3697,49,181,1542,43,1062,19,0.4639650570249939,0.8971123513710264
Telangana,18236,439,17787,14749,134,195,138,106,1447,36,0.024073261680193025,0.8087848212327264
Tripura,36,36,0,17,1,11,12,2,14,1,1.0,0.4722222222222222
Uttar Pradesh,10794,10102,689,3811,1020,514,2748,486,1463,34,0.9358903094311655,0.35306651843616826
Uttarakhand,494,417,77,187,70,102,256,28,144,64,0.8441295546558705,0.3785425101214575
West Bengal,309,61,246,12,8,12,2,5,176,3,0.19741100323624594,0.038834951456310676
Andaman and Nicobar Islands,47,30,17,22,1,9,0,1,37,23,0.6382978723404256,0.46808510638297873
Chandigarh,23,17,6,3,3,9,0,6,17,5,0.7391304347826086,0.13043478260869565
Dadra and Nagar Haveli and Daman and Diu,6,6,0,0,0,5,0,0,3,0,1.0,0.0
Delhi,407,128,279,114,12,42,7,31,135,15,0.3144963144963145,0.2800982800982801
Jammu and Kashmir,185,169,8,112,11,46,105,6,68,3,0.9135135135135135,0.6054054054054054
Ladakh,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Lakshadweep,1,1,0,0,0,1,0,0,1,0,1.0,0.0
Puducherry,147,147,0,125,1,19,41,4,10,3,1.0,0.8503401360544217
