support,support_count,itemset_size,itemset_str
0.5277777777777778,19,1,HIGH_IDENTITY_THEFT
0.5,18,1,HIGH_FRAUD_MOTIVE
0.5,18,1,HIGH_SEC66D_CHEATING
0.5,18,1,HIGH_IT_ACT_SHARE
0.5,18,1,HIGH_EXTORTION_MOTIVE
0.5,18,1,HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.5,18,1,HIGH_WOMEN_CYBERCRIME
0.5,18,1,HIGH_CHILD_CYBERCRIME
0.4722222222222222,17,2,HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT
0.4722222222222222,17,2,HIGH_EXTORTION_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4444444444444444,16,3,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT
0.4444444444444444,16,3,HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4444444444444444,16,2,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT
0.4444444444444444,16,2,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE
0.4444444444444444,16,2,HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4444444444444444,16,2,HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.4444444444444444,16,2,HIGH_CHILD_CYBERCRIME + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4444444444444444,16,2,HIGH_CHILD_CYBERCRIME + HIGH_WOMEN_CYBERCRIME
0.4166666666666667,15,4,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4166666666666667,15,4,HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.4166666666666667,15,4,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4166666666666667,15,3,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4166666666666667,15,3,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4166666666666667,15,3,HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_WOMEN_CYBERCRIME
0.4166666666666667,15,3,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT
0.4166666666666667,15,3,HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.4166666666666667,15,3,HIGH_CHILD_CYBERCRIME + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4166666666666667,15,3,HIGH_EXTORTION_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.4166666666666667,15,3,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4166666666666667,15,3,HIGH_CHILD_CYBERCRIME + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.4166666666666667,15,2,HIGH_FRAUD_MOTIVE + HIGH_SEC66D_CHEATING
0.4166666666666667,15,2,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.4166666666666667,15,2,HIGH_FRAUD_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.4166666666666667,15,2,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE
0.4166666666666667,15,2,HIGH_EXTORTION_MOTIVE + HIGH_SEC66D_CHEATING
0.4166666666666667,15,2,HIGH_IDENTITY_THEFT + HIGH_WOMEN_CYBERCRIME
0.4166666666666667,15,2,HIGH_CHILD_CYBERCRIME + HIGH_IDENTITY_THEFT
0.4166666666666667,15,2,HIGH_EXTORTION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.4166666666666667,15,2,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE
0.3888888888888889,14,5,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,5,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3888888888888889,14,5,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,4,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING
0.3888888888888889,14,4,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,4,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT
0.3888888888888889,14,4,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,4,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3888888888888889,14,4,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,4,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3888888888888889,14,4,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,4,HIGH_CHILD_CYBERCRIME + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,4,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,3,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING
0.3888888888888889,14,3,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEC66D_CHEATING
0.3888888888888889,14,3,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,3,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT
0.3888888888888889,14,3,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,3,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE
0.3888888888888889,14,3,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,3,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3888888888888889,14,3,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,3,HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING
0.3888888888888889,14,3,HIGH_EXTORTION_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3888888888888889,14,3,HIGH_CHILD_CYBERCRIME + HIGH_IDENTITY_THEFT + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,3,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3888888888888889,14,2,HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING
0.3888888888888889,14,2,HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3611111111111111,13,6,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3611111111111111,13,5,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3611111111111111,13,5,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_WOMEN_CYBERCRIME
0.3611111111111111,13,5,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3611111111111111,13,5,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3611111111111111,13,4,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3611111111111111,13,4,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3611111111111111,13,4,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_WOMEN_CYBERCRIME
0.3611111111111111,13,4,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3611111111111111,13,4,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3611111111111111,13,4,HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3611111111111111,13,3,HIGH_FRAUD_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3611111111111111,13,3,HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3333333333333333,12,6,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3333333333333333,12,6,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3333333333333333,12,5,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME
0.3333333333333333,12,5,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING
0.3333333333333333,12,5,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3333333333333333,12,5,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3333333333333333,12,5,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3333333333333333,12,5,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3333333333333333,12,5,HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3333333333333333,12,5,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3333333333333333,12,4,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME
0.3333333333333333,12,4,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING
0.3333333333333333,12,4,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME
0.3333333333333333,12,4,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEC66D_CHEATING
0.3333333333333333,12,4,HIGH_FRAUD_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE + HIGH_WOMEN_CYBERCRIME
0.3333333333333333,12,4,HIGH_CHILD_CYBERCRIME + HIGH_FRAUD_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_SEXUAL_EXPLOITATION_MOTIVE
0.3333333333333333,12,4,HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME
0.3333333333333333,12,4,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING
