State/UT,"women__Cyber Blackmailing/ Threatening (Sec.506, 503, 384 IPC r/w IT Act)",women__Cyber Pornography/ Hosting/ Publishing Obscene Sexual Materials (Sec.67A/67B(Girl Child) of IT act r/w other IPC/SLL),women__Cyber Stalking/ Cyber Bullying of Women (Sec.354D IPC r/w IT Act),women__Defamation/ Morphing (Sec.469 IPC r/w IPC and Indecent Rep. of Women (P) Act and IT Act),women__Fake Profile (IT Act r/w IPC/SLL),women__Other Crimes against Women,women__Total Cyber Crimes against Women
Andhra Pradesh,10,68,151,1,0,329,559
Arunachal Pradesh,0,0,0,0,0,4,4
Assam,11,97,2,74,0,285,469
Bihar,31,20,75,9,40,469,644
Chhattisgarh,3,195,0,0,0,44,242
Goa,1,8,0,0,0,19,28
Gujarat,9,45,43,0,0,356,453
Haryana,6,96,39,1,0,240,382
Himachal Pradesh,0,21,2,0,0,17,40
Jharkhand,0,12,7,0,0,1,20
Karnataka,0,457,4,1,0,6540,7002
Kerala,5,333,51,2,29,402,822
Madhya Pradesh,12,38,68,2,0,193,313
Maharashtra,18,40,415,0,23,2006,2502
Manipur,0,0,0,0,0,6,6
Meghalaya,0,9,0,1,0,19,29
Mizoram,0,0,0,0,0,0,0
Nagaland,0,1,0,0,0,0,1
Odisha,0,358,0,403,0,0,761
Punjab,7,27,14,2,1,76,127
Rajasthan,10,212,97,0,3,199,521
Sikkim,0,4,0,0,0,4,8
Tamil Nadu,14,76,27,1,0,944,1062
Telangana,38,78,295,2,2,1032,1447
Tripura,0,13,0,0,0,1,14
Uttar Pradesh,92,389,18,2,2,960,1463
Uttarakhand,26,51,7,0,0,60,144
West Bengal,3,6,23,0,0,144,176
Andaman and Nicobar Islands,2,27,0,0,0,8,37
Chandigarh,0,5,1,0,0,11,17
Dadra and Nagar Haveli and Daman and Diu,0,3,0,0,0,0,3
Delhi,6,28,18,0,2,81,135
Jammu and Kashmir,0,39,1,4,0,24,68
Ladakh,0,0,0,0,0,0,0
Lakshadweep,0,1,0,0,0,0,1
Puducherry,0,10,0,0,0,0,10
